Price,Close,High,Low,Open,Volume,RSI_14,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,BBL_5_2.0,BBM_5_2.0,BBU_5_2.0,BBB_5_2.0,BBP_5_2.0,OBV,ATRr_14,ADX_14,DMP_14,DMN_14,STOCHk_14_3_3,STOCHd_14_3_3
2023-02-16,23623.474609375,25134.1171875,23602.5234375,24307.349609375,39316664596.0,60.91663317518302,436.1875968760178,-65.0691548308647,501.2567517068825,20694.038876213708,22749.68515625,24805.331436286295,18.07186575038422,0.7125340000395329,1246519519334.0,761.2886693946822,38.23041072966983,43.455919260174575,14.266499454513138,62.327927097998156,42.04046641942575
2023-02-17,24565.6015625,24924.041015625,23460.755859375,23621.283203125,41358451255.0,66.13881486428656,547.1422819772124,36.70842421626389,510.4338577609485,21093.845180249587,23305.16484375,25516.484507250414,18.97707807111647,0.7849964976919683,1287877970589.0,811.4312755986335,38.85127468498668,37.8583673508119,13.676783191728372,81.13643963142904,63.48323808938235
2023-02-18,24641.27734375,24798.8359375,24468.373046875,24565.296875,19625427158.0,66.52571905477053,633.8741655952144,98.75224626741272,535.1219193278017,22071.569023524753,23871.8,25672.030976475246,15.082490440396167,0.7137162824674296,1307503397747.0,777.0763909576597,39.42779121492375,36.7083806226571,13.261336878140815,76.66505590957365,73.37647421300028
2023-02-19,24327.642578125,25093.0546875,24327.642578125,24640.02734375,25555105670.0,63.29766402676725,669.583561307667,107.56931358389215,562.0142477237748,23574.672920950037,24293.167578125,25011.662235299966,5.915199447452371,0.5239911317751131,1281948292077.0,776.2432279874697,40.171930707439,36.83028975666715,12.327315586594025,83.05375445505469,80.28508333201911
2023-02-20,24829.1484375,25020.458984375,23927.91015625,24336.623046875,28987376573.0,66.12794406080305,729.9365916159113,134.33787511370917,595.5987165022021,23559.335240031392,24397.42890625,25235.522572468606,6.870344161584245,0.7575604306842427,1310935668650.0,798.8364851401504,40.064745965217966,33.23229883382684,14.69728459620837,85.44483387317621,81.72121474593483
2023-02-21,24436.353515625,25126.8515625,24200.36328125,24833.048828125,31252098714.0,62.0893748952796,737.5692957634965,113.57646340903545,623.992832354461,24215.497282629658,24560.0046875,24904.512092370343,2.8054343576382323,0.3205391667538503,1279683569936.0,807.9544705765683,40.05689347814606,31.450897392652344,13.493463054943089,83.58562325756046,84.0280705285971
2023-02-22,24188.84375,24472.33984375,23644.318359375,24437.41796875,30199996781.0,59.61858767693328,715.399617757892,73.12542832274471,642.2741894351473,24030.60773812922,24484.653125,24938.69851187078,3.70881616784825,0.17425131544813316,1249483573155.0,809.3878287050277,38.99617491906716,29.152686164327612,17.414558313042992,82.32634434867914,83.78560049313859
2023-02-23,23947.4921875,24572.08984375,23693.919921875,24190.71875,30476264066.0,57.227131138530126,670.624393619506,22.680163347486882,647.9442302720191,23762.499367709417,24345.89609375,24929.292819790586,4.792567287678123,0.15854804418092822,1219007309089.0,814.3008353600258,38.117811295270435,27.782008798908855,16.073097143518766,74.32734943275305,80.07977234633087
2023-02-24,23198.126953125,24103.705078125,23007.072265625,23946.0078125,26811744928.0,50.45929140573551,568.1232233202682,-63.85680556140085,631.980028881669,23029.18799081556,24119.99296875,25210.79794668444,9.044820032474249,0.07743774814327671,1192195564161.0,834.4674051557382,36.13582187788362,25.174129616004752,20.44359053362721,63.093302174309464,73.24899865191387
2023-02-25,23175.375,23210.2109375,22861.55859375,23200.125,16100721565.0,50.26492421845816,479.52672926593004,-121.96263969259121,601.4893689585213,22757.84012869416,23789.23828125,24820.63643380584,8.6711322183759,0.20241207058165409,1176094842596.0,799.7663293410427,34.07021050332651,24.39023821364994,21.10661110788153,53.89841314732194,63.773021584794805
2023-02-26,23561.212890625,23654.3671875,23084.220703125,23174.150390625,16644534842.0,53.53373963672077,435.427920592123,-132.84915869311862,568.2770792852416,22809.329585793024,23614.21015625,24419.090726706974,6.81691714549213,0.4670775593483951,1192739377438.0,783.3649118434682,32.72101016540999,27.172157959402487,20.009342869077678,50.393820363194756,55.79517856160871
2023-02-27,23522.87109375,23857.890625,23205.87890625,23561.451171875,22660763494.0,53.15983272752528,392.85682549193734,-140.3362030346434,533.1930285265807,22915.877725105278,23481.015625,24046.153524894722,4.8135728787900085,0.5370311996043772,1170078613944.0,773.9825409082205,31.71437748322075,27.415406186907777,18.8053358252148,52.6208100667931,52.30434785910325
